donor_id,sample_id,technical_replicate,treatment,stimulation,activation_percent,data_origin
D07,D07_Vehicle_Stimulated,2,Vehicle,Stimulated,47.47,synthetic
D01,D01_Compound_X_Stimulated,2,Compound_X,Stimulated,20.11,synthetic
D04,D04_Vehicle_Stimulated,1,Vehicle,Stimulated,44.28,synthetic
D05,D05_Vehicle_Unstimulated,2,Vehicle,Unstimulated,10.51,synthetic
D02,D02_Vehicle_Stimulated,1,Vehicle,Stimulated,37.88,synthetic
D01,D01_Compound_X_Stimulated,1,Compound_X,Stimulated,19.35,synthetic
D10,D10_Compound_X_Stimulated,1,Compound_X,Stimulated,38.73,synthetic
D03,D03_Vehicle_Stimulated,2,Vehicle,Stimulated,27.43,synthetic
D10,D10_Compound_X_Unstimulated,1,Compound_X,Unstimulated,9.8,synthetic
D08,D08_Vehicle_Stimulated,2,Vehicle,Stimulated,30.58,synthetic
D07,D07_Compound_X_Unstimulated,2,Compound_X,Unstimulated,12.56,synthetic
D06,D06_Compound_X_Unstimulated,2,Compound_X,Unstimulated,6.76,synthetic
D04,D04_Compound_X_Stimulated,1,Compound_X,Stimulated,32.45,synthetic
D09,D09_Compound_X_Unstimulated,1,Compound_X,Unstimulated,17.52,synthetic
D03,D03_Compound_X_Unstimulated,1,Compound_X,Unstimulated,7.34,synthetic
D08,D08_Vehicle_Stimulated,1,Vehicle,Stimulated,31.17,synthetic
D09,D09_Vehicle_Stimulated,2,Vehicle,Stimulated,55.47,synthetic
D06,D06_Vehicle_Unstimulated,2,Vehicle,Unstimulated,6.42,synthetic
D05,D05_Compound_X_Stimulated,2,Compound_X,Stimulated,30.55,synthetic
D03,D03_Compound_X_Stimulated,2,Compound_X,Stimulated,24.45,synthetic
D03,D03_Vehicle_Stimulated,1,Vehicle,Stimulated,28.2,synthetic
D09,D09_Compound_X_Unstimulated,2,Compound_X,Unstimulated,17.58,synthetic
D07,D07_Compound_X_Stimulated,1,Compound_X,Stimulated,42.33,synthetic
D02,D02_Compound_X_Unstimulated,2,Compound_X,Unstimulated,5.88,synthetic
D04,D04_Vehicle_Unstimulated,1,Vehicle,Unstimulated,4.74,synthetic
D07,D07_Compound_X_Unstimulated,1,Compound_X,Unstimulated,12.44,synthetic
D01,D01_Vehicle_Unstimulated,2,Vehicle,Unstimulated,3.5,synthetic
D05,D05_Vehicle_Unstimulated,1,Vehicle,Unstimulated,10.28,synthetic
D10,D10_Compound_X_Unstimulated,2,Compound_X,Unstimulated,9.86,synthetic
D01,D01_Vehicle_Stimulated,1,Vehicle,Stimulated,27.74,synthetic
D10,D10_Compound_X_Stimulated,2,Compound_X,Stimulated,38.02,synthetic
D10,D10_Vehicle_Unstimulated,1,Vehicle,Unstimulated,9.38,synthetic
D02,D02_Compound_X_Stimulated,1,Compound_X,Stimulated,27.65,synthetic
D01,D01_Vehicle_Unstimulated,1,Vehicle,Unstimulated,3.55,synthetic
D05,D05_Compound_X_Stimulated,1,Compound_X,Stimulated,30.45,synthetic
D03,D03_Vehicle_Unstimulated,2,Vehicle,Unstimulated,8.01,synthetic
D10,D10_Vehicle_Stimulated,2,Vehicle,Stimulated,36.05,synthetic
D08,D08_Compound_X_Stimulated,2,Compound_X,Stimulated,23.49,synthetic
D09,D09_Compound_X_Stimulated,2,Compound_X,Stimulated,41.2,synthetic
